namahotel,deskripsi
OYO 284 Wisma JIP,property located ngaglik along 24 hour front desk smoke free hostel express check express check self parking free amenity include garden 10 room provide free wifi balcony flat screen tv free bottled water shower desk among amenity guest find view terrace garden featured amenity include express check express check 24 hour front desk free self parking available onsite home one 10 air conditioned room featuring flat screen television room private balcony complimentary wireless internet access available keep connected bathroom shower provided nearby attraction jogja bay 3 9 km 2 4 mi maguwoharjo stadium 4 km 2 5 ihartono mall 4 1 km 2 5 mi yogya kembali monument 4 8 km 3 mi gadjah mada university 5 7 km 3 5 mi jogja city mall 6 km 3 7 mi islamic university indonesia 6 4 km 4 mi yogyakarta state university 6 4 km 4 mi yogyakarta monument 7 6 km 4 7 mi sunan kalijaga state islamic university yogyakarta 7 6 km 4 7 mi galeria mall 7 6 km 4 7 mi malioboro street 7 7 km 4 8 mi affandi museum 7 9 km 4 9 mi lippo plaza jogja 8 5 km 5 3 mi sasana among rogo 8 7 km 5 4 mi nearest airport yogyakarta jog adisucipto intl 11 1 km 6 9 mi surakarta soc adisumarmo intl 63 2 km 39 2 mi
OYO 287 Rumah Eyang,property located near palace yogyakarta 24 hour front desk garden free self parking available smoke free hostel wifi public area free 10 room offer free wifi flat screen tv cable channel free bottled water shower free toiletry available guest view terrace garden use amenity complimentary wireless internet access featured amenity include 24 hour front desk luggage storage free self parking available onsite home one 10 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include complimentary bottled water housekeeping provided daily nearby attraction batik plentong 0 3 km 0 2 mi masjid jogokariyan 0 7 km 0 4 mi lana gallery 0 7 km 0 5 mi gumuling well 2 1 km 1 3 mi kampoeng cyber 2 1 km 1 3 mi alun alun kidul 2 3 km 1 4 mi sasono hinggil 2 4 km 1 5 mi taman pintar science park 2 4 km 1 5 mi water castle tamansari 2 5 km 1 6 mi malioboro street 2 6 km 1 6 mi sonobudoyo museum 2 6 km 1 6 mi senopati 2 7 km 1 7 mi kraton complex 2 7 km 1 7 mi palace yogyakarta 2 7 km 1 7 mi museum kereta kraton 2 8 km 1 7 mi nearest major airport yogyakarta jog adisucipto intl 12 1 km 7 5 mi
OYO 290 Omahkoe Jaban Residence,property located ngaglik outdoor pool 24 hour front desk express check available smoke free hostel free wifi public area free self parking provided amenity include express check 10 room offer free wifi flat screen tv cable channel free bottled water shower desk free toiletry among amenity guest find enjoy recreation opportunity outdoor pool use amenity including complimentary wireless internet access featured amenity include express check express check 24 hour front desk free self parking available onsite home one 10 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily nearby attraction yogya kembali monument 4 km 2 5 mi hartono mall 4 5 km 2 8 mi jogja bay 4 5 km 2 8 mi sleman city hall 4 9 km 3 1 mi jogja city mall 5 6 km 3 5 mi maguwoharjo stadium 5 7 km 3 6 mi yogyakarta state university 6 6 km 4 1 mi islamic university indonesia 7 4 km 4 6 mi gadjah mada university 7 4 km 4 6 mi yogyakarta monument 7 7 km 4 8 mi malioboro street 7 8 km 4 9 mi sunan kalijaga state islamic university yogyakarta 8 km 5 mi galeria mall 8 km 5 mi affandi museum 8 3 km 5 2 mi lippo plaza jogja 8 7 km 5 4 mi nearest airport yogyakarta jog adisucipto intl 11 4 km 7 1 mi surakarta soc adisumarmo intl 63 5 km 39 5 mi
OYO 327 Pondok Agung Rubicon,property located near jogja city mall room offer free wifi shower front desk property arrangement check contact property ahead time using information booking confirmation home one 33 air conditioned guestroom complimentary wireless internet access available keep connected bathroom shower provided nearby attraction yogya kembali monument 0 4 km 0 2 mi jogja city mall 1 4 km 0 9 mi gadjah mada university 3 2 km 2 mi hartono mall 3 8 km 2 3 mi malioboro street 3 9 km 2 4 mi yogyakarta monument 3 9 km 2 4 mi sleman city hall 4 1 km 2 6 mi yogyakarta state university 4 1 km 2 6 mi galeria mall 4 7 km 2 9 mi museum sasana wiratama 6 5 km 4 1 mi malioboro mall 6 8 km 4 2 mi bringharjo market 7 4 km 4 6 mi pasar beringharjo 7 5 km 4 7 mi fort vredeburg museum 7 6 km 4 7 mi gedung agung 7 6 km 4 7 mi nearest airport yogyakarta jog adisucipto intl 12 3 km 7 7 mi surakarta soc adisumarmo intl 64 4 km 40 mi
OYO 347 Bayang Brothers Guest House,property located near gadjah mada university along 24 hour front desk smoke free hostel express check express check free wifi public area free self parking provided 10 room offer free wifi balcony flat screen tv cable channel free bottled water shower desk among amenity guest find housekeeping available per stay featured amenity include express check express check 24 hour front desk free self parking available onsite home one 10 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided per stay nearby attraction hartono mall 1 8 km 1 1 mi plaza ambarrukmo 2 2 km 1 4 mi affandi museum 2 6 km 1 6 mi sunan kalijaga state islamic university yogyakarta 2 6 km 1 6 mi yogyakarta state university 3 km 1 9 mi lippo plaza jogja 3 1 km 1 9 mi siloam hospital yogyakarta 3 3 km 2 mi transmart studio mini 3 3 km 2 1 mi gadjah mada university 3 7 km 2 3 mi museum dirgantara 3 7 km 2 3 mi maguwoharjo stadium 4 3 km 2 6 mi jogja expo center 4 3 km 2 7 mi galeria mall 4 3 km 2 7 mi jogja bay 4 5 km 2 8 mi sasana among rogo 5 3 km 3 3 mi nearest airport yogyakarta jog adisucipto intl 5 7 km 3 6 mi surakarta soc adisumarmo intl 57 8 km 35 9 mi
OYO 348 Hotel Dieng Permai,property located near malioboro street smoke free hotel feature 24 hour front desk tv common area free self parking wifi public area free 19 room offer free wifi flat screen tv satellite channel free newspaper amenity available guest include free bottled water shower desk use convenient amenity include complimentary wireless internet access television common area featured amenity include 24 hour front desk luggage storage free self parking available onsite home one 19 air conditioned room featuring flat screen television complimentary wireless internet access keep connected satellite programming available entertainment private bathroom shower feature complimentary toiletry bidet convenience include desk complimentary newspaper housekeeping provided daily nearby attraction malioboro street 0 3 km 0 2 mi yogyakarta monument 0 8 km 0 5 mi malioboro mall 1 2 km 0 8 mi bringharjo market 1 8 km 1 1 mi museum sasana wiratama 1 9 km 1 2 mi pasar beringharjo 2 km 1 2 mi yogyakarta presidential palace 2 km 1 2 mi fort vredeburg museum 2 km 1 2 mi gedung agung 2 km 1 2 mi senopati 2 1 km 1 3 mi galeria mall 2 1 km 1 3 mi kota gede 2 2 km 1 4 mi sonobudoyo museum 2 4 km 1 5 mi taman pintar science park 2 4 km 1 5 mi palace yogyakarta 2 5 km 1 6 mi nearest major airport yogyakarta jog adisucipto intl 9 7 km 6 1 mi
OYO 369 Hotel Sekar Ayu,property located near malioboro street smoke free hostel feature 24 hour front desk free newspaper free self parking wifi public area free 21 room offer free wifi flat screen tv satellite channel free bottled water shower free toiletry available guest featured amenity include complimentary newspaper lobby 24 hour front desk luggage storage free self parking available onsite property offer hour check guest arriving late able check next morning home one 21 air conditioned room featuring flat screen television complimentary wireless internet access keep connected satellite programming available entertainment bathroom shower complimentary toiletry convenience include complimentary bottled water housekeeping provided daily nearby attraction malioboro street 0 5 km 0 3 mi malioboro mall 0 9 km 0 6 mi kota gede 1 2 km 0 7 mi yogyakarta monument 1 3 km 0 8 mi galeria mall 1 4 km 0 9 mi bringharjo market 1 6 km 1 mi batik museum1 6 km 1 mi pasar beringharjo 1 7 km 1 mi fort vredeburg museum 1 7 km 1 1 mi gedung agung 1 7 km 1 1 mi yogyakarta presidential palace 1 7 km 1 1 mi senopati 1 8 km 1 1 mi sonobudoyo museum 2 1 km 1 3 mi taman pintar science park 2 1 km 1 3 mi gadjah mada university 2 2 km 1 4 mi nearest major airport yogyakarta jog adisucipto intl 8 5 km 5 3 mi
OYO 392 Hotel Mawar Saron,property located near malioboro street along outdoor pool smoke free hotel 24 hour front desk free self parking wifi public area free 19 room provide free wifi room service flat screen tv amenity available guest include free bottled water shower desk enjoy recreation opportunity outdoor pool use amenity including complimentary wireless internet access free self parking available onsite home one 19 air conditioned room featuring flat screen television complimentary wireless internet access available keep connected bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily advantage hotel room service limited hour nearby attraction siloam hospital yogyakarta 0 4 km 0 2 mi lippo plaza jogja 0 6 km 0 4 mi galeria mall 0 8 km 0 5 mi sunan kalijaga state islamic university yogyakarta 1 2 km 0 8 mi affandi museum 1 2 km 0 8 mi yogyakarta state university 1 3 km 0 8 mi plaza ambarrukmo1 8 km 1 1 mi kota gede 1 9 km 1 2 mi malioboro street 2 1 km 1 3 mi gadjah mada university 2 1 km 1 3 mi yogyakarta monument 2 2 km 1 4 mi batik museum 2 2 km 1 4 mi sasana among rogo 2 5 km 1 5 mi pakualaman palace 3 km 1 9 mi museum sasmitaloka panglima besar jenderal sudirman 3 2 km 2 mi nearest major airport yogyakarta jog adisucipto intl 7 km 4 4 mi
OYO 405 Wisma Yosoputro,property located near sambisari temple smoke free hotel feature 24 hour room service 24 hour front desk express check free wifi public area free self parking provided additionally express check garden onsite 16 room provide free wifi balcony 24 hour room service amenity available guest include flat screen tv free bottled water shower view garden use amenity complimentary wireless internet access featured amenity include express check express check 24 hour front desk free self parking available onsite property offer hour check guest arriving late able check next morning home one 16 air conditioned room featuring flat screen television room private balcony complimentary wireless internet access available keep connected bathroom shower complimentary toiletry advantage hotel 24 hour room service nearby attraction sambisari temple 2 2 km 1 4 mi kalasan temple 2 8 km 1 7 mi candi kalasan 2 8 km 1 8 mi adisucipto golf cours e3 2 km 2 mi candi sari 3 5 km 2 2 mi transmart studio min i4 1 km 2 5 mi museum dirgantara 4 8 km 3 mi raana ballet 5 1 km 3 2 mi ratu boko palace 5 2 km 3 2 mi prambanan temple 5 5 km 3 4 mi plaza ambarrukmo 6 2 km 3 8 mi lumbung temple 6 6 km 4 1 mi sewu temple 6 6 km 4 1 mi kid fun park 6 6 km 4 1 mi sojiwan temple 6 6 km 4 1 mi nearest airport yogyakarta jog adisucipto intl 2 4 km 1 5 mi surakarta soc adisumarmo intl 50 6 km 31 4 mi
OYO 408 Graha Vege Jawi Syariah,property located near gembira loka zoo hostel feature express check express check garden free wifi public area free self parking provided 6 room offer free wifi flat screen tv cable channel free bottled water shower desk free toiletry among amenity guest find view terrace garden use amenity complimentary wireless internet access featured amenity include express check express check free self parking available onsite front desk property arrangement check contact property ahead time using information booking confirmation home one 6 air conditioned room featuring flat screen television complimentary wireless internet access keep connected cable programming available entertainment bathroom shower complimentary toiletry convenience include desk complimentary bottled water housekeeping provided daily nearby attraction jogja expo center 1 2 km 0 7 mi plaza ambarrukmo 1 4 km 0 8 mi affandi museum 1 7 km 1 mi sunan kalijaga state islamic university yogyakarta 1 9 km 1 2 mi gembira loka zoo 2 km 1 2 mi lippo plaza jogja 2 3 km 1 4 mi museum dirgantara 2 5 km 1 5 mi siloam hospital yogyakarta 2 5 km 1 6 mi transmart studio mini 2 7 km 1 7 mi sasana among rogo 3 km 1 9 mi faculty industrial technology 3 3 km 2 mi museum kekayon 3 3 km 2 1 mi galeria mall 3 5 km 2 2 mi kota gede 3 7 km 2 3 mi yogyakarta state university 3 8 km 2 4 mi nearest airport yogyakarta jog adisucipto intl 5 4 km 3 4 mi surakarta soc adisumarmo intl 57 5 km 35 7 mi
